show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
Rambo,6.4,1986,30,"Animation, Action, Adventure",TV-Y7,685,"On Colonel Trautman's request, John Rambo leads special unit The Force of Freedom against paramilitary terrorist organization S.A.V.A.G.E. (Specialist-Administrators of Vengeance, Anarchy and Global Extortion) all over the globe."
Street Sharks,6.3,1994-1996,22,"Animation, Action, Adventure",TV-Y7,"2,585","Ripster, Jab, Streex and Slammu must protect their reputations and change the way they are being viewed in Fission City. They must fight Dr. Piranoid as well as finding their father once and for all..."
The Legend of Tarzan,6.8,2001-2003,22,"Animation, Action, Adventure",TV-Y,"2,962",The further adventures of the jungle hero Tarzan (1999) and his friends.
Blood+,7.6,2005-2006,,"Animation, Action, Adventure",TV-MA,"4,494","In present day Okinawa, a young amnesiac girl named Saya combats vicious, shape-shifting vampires. Her adoptive family and friends help her track down their source and uncover her past."
¡Mucha Lucha!,5.8,2002-2005,22,"Animation, Short, Action",TV-Y7-FV,"2,836",The Story of three masked wrestlers in Wrestling school.
Fantastic Four: World's Greatest Heroes,6.8,2006-2010,30,"Animation, Action, Family",TV-Y7,"2,344",The adventures of the Marvel Universe's premiere superhero family.
Monsters vs. Aliens,5.8,2013-2014,15,"Animation, Short, Action",TV-Y7,"1,197",The further adventures of Susan and her monster friends as they defend Earth from various alien and supernatural threats.
El Tigre: The Adventures of Manny Rivera,6.3,2007-2008,,"Animation, Short, Action",TV-Y7,"1,718","The daily adventures of a 12 year old Mexican superhero dealing with bizarre enemies, as well as his own superhero father and villain grandfather."
The Legend of Zelda,6.3,1989,15,"Animation, Action, Adventure",TV-Y7-FV,"1,598","Based on the popular Nintendo game of the same name. Link and Princess Zelda protect the mystical artifact, the Triforce of Wisdom, from falling into the hands of the evil sorcerer Ganon."
Action Pack,6.3,2022- ,29,"Animation, Action, Adventure",TV-Y,60,"Follows a group of kids who use their super powers to implement lessons and bring out the good in everything, even in villains."
Thundarr the Barbarian,7.5,1980-1981,30,"Animation, Action, Adventure",TV-Y7,"1,466",Thundarr the Barbarian and his companions Ookla the Mok and Princess Ariel wander a devastated future Earth and fight evil wherever they find it.
Penn Zero: Part-Time Hero,7.2,2014-2017,22,"Animation, Adventure, Comedy",TV-Y7,"1,989",Penn Zero is not your average kid - every day he's zapped into another dimension with his friends to save the world.
Marvel's Moon Girl and Devil Dinosaur,,2022- ,,"Animation, Action, Adventure",TV-Y7,,"After 13-year-old super-genius Lunella accidentally brings ten-ton T-Rex, Devil Dinosaur into present-day New York City via a time vortex, the duo works together to protect the city's Lower East Side from danger."
Grendel,Not-Rated,TBA,,"Action, Adventure, Crime",,,"Follows a gifted fencer, writer and assassin, seeking to avenge the death of a lost love. He goes to the criminal underworld and asks himself, why beat them, when he can join them?"
The Secret Saturdays,7.1,2008-2010,,"Animation, Action, Adventure",TV-Y7,"2,115",An adventuresome family of experts in the field of creatures known as cryptids attempts to protect their secrets and powers from the forces of evil.
Monsuno,4.9,2011- ,,"Animation, Action, Adventure",TV-Y7,557,A group of young friends find monster DNA.
Super Gran,6.4,1985-1987,60,"Comedy, Crime, Family",,500,The adventures of a super-powered granny who fights crime in her community.
T.U.F.F. Puppy,5.5,2010-2015,,"Animation, Short, Action",TV-Y7,"3,374",A secret agent labradoodle is recruited into a task force called T.U.F.F and fights injustice throughout the city in which he lives.
The Mighty B!,5.3,2008-2011,24,"Animation, Short, Comedy",TV-Y7,"2,429","Overachieving Honeybee scout, Bessie Higgenbottom, attempts to earn every last Bee Badge."
Captain Caveman and the Teen Angels,6.4,1977-1980,11,"Animation, Short, Comedy",TV-G,"3,557",The adventures of a superhero caveman and a trio of female amateur detectives.
Buck Rogers,6.6,1950-1951,30,Sci-Fi,,55,A twentieth century football player is swept to the twenty-fifth century and joins the battle against the local despot.
BraveStarr,7.1,1987-1989,30,"Animation, Action, Family",TV-Y7,"2,904",A Native American marshal and his friends keep the peace on the frontier planet of New Texas.
Queen of Swords,7.1,2000-2001,30,"Action, Adventure, Western",,447,"A young woman returns to her home in California after her father's mysterious death. There, she becomes a symbol, the queen of swords, fighting for justice and trying to right the wrongs the colonel has done."
Superman,7.1,1988,30,"Animation, Short, Action",,898,The Man of Steel fights evil in the city of Metropolis and beyond. Each episode ends with a short vignette about key events from Kal-El's youth on Earth.
Transformers: Armada,7.1,2002-2003,30,"Action, Animation, Adventure",TV-Y7,"1,424","The Autobots and the Decepticons are going at it again, but this time the two factions are fighting over little transformers called the Mini-Cons. These Transformers gives their masters a ... See full summary »"
The Adventures of Kid Danger,2.1,2018,30,"Animation, Action, Adventure",TV-Y7,854,The adventures of Ray and Henry continue as they fight old and new criminals in this animated spinoff.
Defenders of the Earth,7.1,1986-1991,30,"Animation, Action, Adventure",TV-Y7,"1,477",Four of the greatest comic strip heroes join forces to battle Ming the Merciless.
WHIH News Front,6.9,2015-2016,9,Sci-Fi,TV-PG,747,"A series of news bulletins on events within the Marvel Cinematic Universe, as presented by reporter Christine Everhart."
Robotboy,5.8,2005-2008,30,"Animation, Action, Comedy",TV-G,"2,173","Robotboy is a cute, cutting-edge, butt-kicking battle-robot, who dreams of becoming a real boy. Created by world-renowned scientist Professor Moshimo, Robotboy has the ability to ... See full summary »"
Marvel Future Avengers,5.8,2017-2018,,"Animation, Action, Adventure",TV-PG,215,"follows a young boy named Makoto, who gains superpowers due to an evil gene manipulation experiment. Makoto and other young kids with powers join the Avengers as apprentices named ""Future Avengers."""
Famalam,6.3,2018- ,20,Comedy,,366,"A zany, new comedy sketch show featuring an array of oddball characters and off-the-wall situations ranging from a misunderstood superhero to Croydon's leading witch-doctor."
Ozzy & Drix,6.9,2002-2003,30,"Animation, Short, Action",TV-Y7,"1,308",The further adventures of Osmosis Jones (Phil LaMarr) and Drix (Jeff Bennett) as they defend the body of a young boy.
Kamen Rider,7.8,1971-1973,30,"Action, Adventure, Drama",TV-G,290,"A grasshopper-like, motorcycle-riding cyborg (joined by another one later in the show) fights the evil organization that transformed him for their evil deeds."
Gargoyles: The Goliath Chronicles,7.8,1996-1997,30,"Animation, Action, Crime",TV-Y7,"2,310",The Manhattan Clan fight for justice and human acceptance in New York City.
The Legend of Prince Valiant,7.4,1991-1994,22,"Animation, Action, Adventure",,702,"After his castle is taken over, Valiant, Prince of Thule, has a dream, in which King Arthur calls him to Camelot. Valiant heeds the advice of the dream, and sets out on a quest to find the ... See full summary »"
Power Rangers HyperForce,6.3,2017-2018,180,"Action, Adventure, Fantasy",TV-PG,188,"Set in the year 3016 at Time Force Academy, a team of Time Force cadets and a beat Time Force Officer must band together when their mentor, Jen Scott ( The Pink Time Force Ranger), and the ... See full summary »"
Ghostforce,6.3,2021- ,22,"Animation, Action, Adventure",TV-Y7,57,"They are here, hidden in everyday objects, in an eternal slumber. Three high school kids working as a team of superheroes, the Ghostforce, secretly fight against the ghosts that haunt their town."
The New Scooby and Scrappy-Doo Show,6.5,1983-1984,30,"Animation, Action, Adventure",,"1,689","Reporter Daphne hires Scooby, Scrappy and Shaggy as her assistants to solve spooky mysteries."
Centurions,7.7,1986,30,"Animation, Action, Family",TV-Y7-FV,"1,912",The adventures of a unit of elite soldiers who wear special frames that accept various weapons and transportation equipment teleported from a space station.
Inspector Gadget,4.7,2015-2018,22,"Animation, Action, Adventure",TV-Y7,602,"When Dr. Claw returns, Inspector Gadget is brought out of retirement to defeat him again, now with Penny and Brain's open participation."
Batman Beyond,6.7,2015- ,,"Action, Sci-Fi",,160,"Bruce Wayne passes the torch of BATMAN to Terry McGinnis in the futuristic megalopolis, Neo-Gotham."
Street Fighter II: V,7.5,1995-1998,22,"Animation, Action, Adventure",TV-Y7,"2,244","Based off of the video game, on an island off the coast of Japan, Ryu, a martial artist, was given an invitation and some American money from his friend Ken Masters, telling him to come to ... See full summary »"
Dino-Riders,7.1,1988,22,"Animation, Action, Adventure",Not Rated,"1,249","Pursued by intergalactic warlord Krulos and his Rulons, human Valorians fly through a wormhole and end up on the prehistoric Earth. Krulos follows and becomes stuck in prehistory as well. Both sides build dinosaur armies and engage."
Gotham Girls,7.4,2000-2002,3,"Animation, Comedy, Crime",TV-PG,489,The adventures of the female superheroes and supervillains of Gotham City.
Captain Video and His Video Rangers,7.5,1949-1955,30,"Action, Sci-Fi, Adventure",TV-Y7,107,"""Guardian of the Safety of the World"", private citizen-scientist Captain Video, assisted by his teenage helper The Ranger and an army of Video Rangers, preserves the peace in the far-off ... See full summary »"
Silver Surfer,7.1,1998,30,"Animation, Action, Adventure",TV-Y7,"2,323",The adventures of the cosmic wanderer as he seeks his lost home after rebelling from his master.
Kamen Rider: Dragon Knight,6.9,2008-2009,22,Action,TV-Y7,493,"On the other side of every mirror on Earth lies the parallel dimension of Ventara - a world destroyed by the evil alien, General Xaviax. The Kamen Riders were warriors from Ventara who ... See full summary »"
Voltron Force,6.9,2011-2012,30,"Animation, Sci-Fi",TV-Y7,511,The further adventures of the pilots of the Voltron lions with a new generation of cadets training to help them.
Kamen Rider Zero-One,8,2019-2020,24,"Action, Adventure, Comedy",TV-PG,302,"A young self-proclaimed comedian, Aruto Hiden, finds himself inheriting his late grandfather's technology company and the Zero-One Driver to becomes Kamen Rider Zero-One and a hero to humanity."
The New Adventures of Batman,7.1,1977-1978,30,"Animation, Action, Adventure",,"1,142","Batman, Robin and Batgirl fight crime in Gotham City with the ""help"" of Batmite."
Monster Squad,7.7,1976,30,"Adventure, Family, Horror",,208,"When trouble arises, three monster wax figures come to life to battle evil."
The Adventures of Super Mario Bros. 3,7.3,1990,11,"Animation, Adventure, Comedy",TV-Y7,"1,507","Join Mario, and Luigi in 26 action packed adventures based on the classic NES video game."
Mighty Magiswords,4.4,2015-2018,3,"Animation, Short, Action",TV-Y7,"1,254","Two clumsy siblings search for legendary Magiswords to aid them in their ""Warriors for Hire"" business."
Fantastic Four,6.7,1967-1968,30,"Animation, Action, Adventure",TV-Y7-FV,"1,397",Four costumed superheroes battle the world's most terrifying villains.
World of Winx,6.8,2016-2017,30,"Animation, Action, Comedy",TV-Y7,700,The Winx travel all over the world searching for talent for WOW. and preventing the mysterious talent thief from kidnapping them.
Uncanny X-Men,7,2012-2018,,Action,,76,A low-budget adaptation of the popular superhero comic book series.
MegaMan: NT Warrior,6.9,2001-2005,25,"Animation, Action, Adventure",TV-Y7,869,Lan Hikari and his virtual buddy Megaman travel around Den Tech City stopping the evil forces of World Three.
Super Drags,5.4,2018,30,"Animation, Comedy, Fantasy",TV-MA,"1,588","Three gay co-workers at a department store lead double lives as superhero drag queens, fighting crime and other forces like an evil drag queen and a conservative politician."
Timecop,6.5,1997-1998,60,"Action, Adventure, Crime",,610,"Jack Logan is a time traveler from 2007, who hunts down rogue travelers and brings them to justice before they can alter the past."
Hamster & Gretel,Not-Rated,TBA,,"Animation, Action, Adventure",TV-Y7,,"Follows Gretel and her pet Hamster after receiving new abilities. Now, protective older brother Kevin must figure out how to work with both Gretel and her pet to protect their city from mysterious dangers."
Visionaries: Knights of the Magical Light,7.8,1987,30,"Animation, Action, Adventure",,"1,086",The planet Prysmos - post-technological loss. Two groups rise to dominance from the devastation to wage war upon each other. One is controlled by honest and law-abiding people and the other... See full summary »
Captain N: The Game Master,6.4,1989-1991,25,"Animation, Action, Adventure",TV-Y7,"1,172","Kevin, a teenage gamer and his friends fight to save Videoland from the evil Mother Brain."
Untitled Wakanda Project,Not-Rated,TBA,,"Action, Adventure, Sci-Fi",,,Plot under wraps.
Tiger & Bunny,7.3,2011- ,25,"Animation, Action, Adventure",TV-14,915,"In a world where superheroes have corporate sponsors and are the stars of their own reality TV show, a new superhero team is born as the veteran hero Wild Tiger is assigned to be partners with rookie Barnaby Brooks Jr."
Mr. Terrific,6.9,1966-1967,30,Comedy,,213,"Stanley Beamish, the weakling proprietor of a Washington gas station, is also a top-secret super agent. When the Government's Bureau of Special Projects needs Stanley, he takes a pill that ... See full summary »"
Mighty Max,7.8,1993-1995,30,"Animation, Action, Adventure",TV-Y7,"1,851","Max (Rob Paulsen), a twelve-year-old boy, finds a magical cap that can teleport him across dimensions."
Smile PreCure!,6.6,2012-2013,24,"Animation, Action, Adventure",TV-PG,377,"Once upon a time, there was a kingdom of fairy tales called ""Märchenland"", where many fairy tale characters live together in joy. Suddenly, the evil emperor Pierrot made an invasion on ... See full summary »"
El Chapulín Colorado,8.5,1973-1979,25,"Comedy, Family, Fantasy",TV-PG,"3,475",An accident-prone superhero seems to cause more problems than the villains he faces.
Painkiller Jane,5.9,2007,44,"Action, Sci-Fi",,"3,029",Jane Vasco is a DEA agent recruited by a covert government agency that hunts genetically enhanced individuals. She discovers that she can heal rapidly from any injury and begins to investigate the source of her powers.
Shaggy & Scooby-Doo Get a Clue!,4.6,2006-2008,,"Animation, Action, Adventure",TV-Y7,917,"Adventures of Mystery, Inc. members Shaggy and Scooby-Doo as they solve various crimes around the world with the help of inherited cash and inventions from Shaggy's missing uncle."
Kikai Sentai Zenkaiger,7.6,2021-2022,25,"Action, Adventure, Comedy",TV-PG,63,"When an all-powerful enemy appears to destroy all parallel worlds, a hero with the spirit of all Super Sentai will rise to fight back. Transforming into ZenKaizer, he joins forces with four... See full summary »"
Birdman,6.8,1967-1987,30,"Animation, Action, Adventure",TV-G,981,A winged superhero who gets his powers from the sun battles various evildoers with the help of his eagle sidekick Avenger.
Kappa Mikey,6.6,2006-2008,22,"Animation, Adventure, Comedy",TV-Y7,"1,113","Parody of Japanese anime, featuring a guy named Mikey who travels to Japan to star in an anime, where he discovers his new co-stars are all basically walking anime clichés."
Loonatics Unleashed,5.6,2005-2007,30,"Animation, Action, Adventure",TV-Y7,976,The futuristic descendants of the Looney Tunes characters become superheroes when the aftershock of an alien meteor grants them each with strange new powers.
Shaktimaan Animated,7.3,2011-2013,,"Animation, Action, Family",,50,"Vehaan Arya, a young college student with yogic superpowers, is forced to leave the Himalayas and become Shaktimaan in order to stop Kilvish from wreaking global havoc."
Marvel Anime,6.9,2010-2011,,"Animation, Sci-Fi",,295,"Series from Marvel set more to the environment of Anime than typical American fare. Plenty of lengthy dialog, emotion and angst to go around, as well as grossly-mutating monsters to please the most demanding anime fans."
The Life and Times of Juniper Lee,6.5,2005-2007,30,"Animation, Action, Adventure",TV-Y7-FV,"2,756",Juniper Lee is an 11 year old girl who can fight the force of chaos and curses. One day she skipped one of her friends' birthdays and fights the chaos again.
Bananaman,6.7,1983-1986,5,"Animation, Comedy, Family",,"1,660","Stupid, but well-meaning and super-strong super-hero, Bananaman gets his strength from eating bananas. Before he eats a banana, Bananaman is a young boy called Eric who is keen to keep his ... See full summary »"
Iron Man,6.4,2010,25,"Animation, Action, Sci-Fi",TV-14,"1,255","When Tony Stark branches his company into Japan, he is opposed by the nefarious Zodiac organization. It's up to Stark's Iron Man to defeat the Zodiac, and defend Japan."
Quick Draw McGraw,6.8,1959-1962,30,"Animation, Comedy, Family",TV-G,"1,881","Quick Draw Mcgraw was a dimwitted and lanky mustang (horse) who caused much chaos in the Old West. If he could get his own six shooter out of his holster at all, he would usually shoot the ... See full summary »"
The Herculoids,7.4,1967-1969,10,"Animation, Adventure, Sci-Fi",TV-Y7,"1,123",King Zandor and a group of bizarre creatures protect their futuristic kingdom from creatures from other galaxies.
GoGo Sentai Boukenger,7.8,2006-2007,25,"Action, Adventure, Comedy",TV-PG,151,Powerful artifacts known as Precious have been appearing around the world. A group of various villians known as the Negative Syndicates wish to take the Precious for themselves and utilize ... See full summary »
Tokyo Mew Mew,7,2002-2003,24,"Animation, Action, Adventure",TV-Y7,"1,148","One day while on her first date 11-year old Ichigo, became a super hero. After a mysterious earth quake, she was giving Animal Geens, and became part of the Mew Squad. Together they fight evil aliens, and protect the world."
The Head,6.6,1994-1996,22,"Animation, Action, Adventure",TV-14,"1,243","Jim and Roy, a friendly violet demonic-looking alien that inhabits Jim's giant head, must stop an alien invasion. Misguided FBI agents and a manipulated mad doctor stand in their way, but Jim finds allies."
Earthworm Jim,7.4,1995-1996,30,"Animation, Short, Action",TV-Y,"2,094",An average Earthworm stumbles upon a supersuit that makes him a superheroic worm!
Super Power Beat Down,8.3,2012- ,,Short,,370,"Machinima and Bat in the Sun's web series ""Super Power Beat Down"" takes two super-powered legends and makes them battle! Experts Marisha Ray, Jennifer Wegner, Damian Beurer and Andy Liegl ... See full summary »"
Freedom Fighters: The Ray,5.8,2017-2018,6,"Animation, Action, Fantasy",,"1,079","Reporter Raymond ""Ray"" Terrill is investigating a group of government scientists who are developing a weapon using light, when he is attacked with a ""genetic light bomb"" that ends up bestowing him with light-based super powers."
Go Jetters,7.9,2015- ,,Animation,,149,"Four explorers on a Global adventure. Xuli, Kyan, Lars, Foz. They are the Go Jetters...!"
Superhuman Samurai Syber-Squad,7,1994-1995,20,"Animation, Family, Action",TV-Y7,568,Typical teenager Sam Collins (Matthew Lawrence) and his friends secretly fight virus monsters by transporting themselves into the computer.
The Phoenix,7.1,1981-1982,60,Sci-Fi,,265,An ancient and powerful human-like alien is pursued on modern Earth while he searches for his long lost partner.
Astro Boy,7,2003-2004,30,"Animation, Action, Adventure",TV-Y7,456,"Starring Astro, Japan's first Superhero and a modern folk hero- an anime adaption for the new century based on the seminal manga 'Astro Boy' by the 'God of Manga' Osamu Tezuka."
Twelve Forever,6.4,2019,,"Animation, Action, Adventure",TV-Y7,655,Reggie's dream is to be a kid forever. Her dream is so powerful that it creates its own fantasy world of perpetual youth.
Conan the Adventurer,7.3,1992-1993,25,"Animation, Action, Fantasy",TV-Y7,"1,287",Young Cimmerian barbarian Conan and his allies must stop snake-man wizard Wrath-Amon and his snake-men army from resurrecting evil serpent god Set. Conan must also destroy the evil wizard's ring that turned his family into stone.
Extraordinary,Not-Rated,TBA,25,"Action, Adventure, Comedy",,,"Jen, a young, self-aware woman who lives in a world where everyone has a superpower except her."
Spider-Woman,5.8,1979-1980,21,"Animation, Action, Family",TV-Y7,776,The adventures of a female superhero with spider-like abilities.
SSSS.Gridman,7,2018,23,"Animation, Action, Adventure",TV-14,643,"A being calling itself ""Hyper Agent Gridman"" contacts high schooler Yuta through an old computer, recruiting him in the fight against impending terror."
Batman Unlimited,6.8,2015-2016,3,Animation,,353,"This merchandise show displays short episodic battles, and other encounters, around Batman and his Batfamily like Nightwing, Red Robin and Robin. The episodes manage without dialogues."
Ronin Warriors,7.4,1988-1995,23,"Animation, Action, Adventure",PG-13,803,"After a thousand years of exile, Talpa, ruler of the Netherworld, returns to claim the Earth as his own. The only thing that can stop him and his minions are five young men and their mystical suits of armor."
Chop Socky Chooks,4.4,2007-2008,11,"Animation, Action, Comedy",TV-Y7-FV,469,Three kung fu fighting chickens battle the owner of their city-sized shopping mall.
Ultraman: Tiga,7.8,1996-1997,30,"Action, Adventure, Comedy",TV-Y7,388,A high-tech squadron protects Earth from evil monsters and aliens with the help of a giant super-being named Ultraman Tiga.
Tokyo Mew Mew New,,2022- ,24,"Animation, Action, Adventure",,,"Follows Ichigo Momomiya, a girl who transforms into Mew Ichigo with the power of the Iriomote leopard cat to save Earth from parasitic Chimera Anima aliens."
Ninjak vs the Valiant Universe,6.7,2018- ,,"Action, Adventure, Crime",,372,"A British intelligence agent and martial artist with a dark, mysterious alter ego battles his way through the heroes and villains of the Valiant Universe."
Hulk,6.5,1966,,"Animation, Action, Sci-Fi",TV-G,978,The adventures of a nuclear scientist cursed with the tendency to turning into a huge green brute under stress.
Super Force,7,1990-1992,30,"Action, Adventure, Crime",,346,"In the year 2020, an astronaut becomes a vigilante when he returns from a mission to learn his cop brother's been murdered."
Supernoobs,3.3,2015-2019,30,"Animation, Action, Comedy",TV-Y7-FV,833,4 12 year old 7th Graders in middle school friend embark on adventures with battle balls to save the world from a virus.
Road Rovers,7.2,1996-1997,30,"Animation, Action, Comedy",TV-Y,296,Road Rovers is an animated action/adventure series starring the most buffed-up and powerful howling hounds ever to walk the planet. The series features fur-raising adventures of man's best ... See full summary »
Super Robot Monkey Team Hyperforce Go!,6.5,2004-2006,30,"Animation, Action, Adventure",TV-Y7-FV,"2,209",A twelve-year-old boy named Chiro was exploring the outskirts of Shuggazoom City and discovered a giant and abandoned Super Robot.
The Aquabats! Super Show!,8.5,2012-2018,,"Adventure, Comedy, Family",TV-PG,672,"A rock band, consisting of five superheroes, battle a new monster every episode in a retro campy style, complete with fake commercials and an appearance each week of the Aquabats in cartoon form."
Yin Yang Yo!,6,2006-2009,10,"Animation, Short, Action",TV-G,"2,631","Two rabbit siblings are trained by their panda mentor in the mystic martial art of Woo-Foo, in hopes that they can protect the world from ever-present evil forces."
James Bond Jr.,6.1,1991-1992,30,"Animation, Action, Adventure",TV-Y,632,The nephew of MI6's greatest spy carries on his uncle's legacy by combating a rogues' gallery of new and familiar villains with the help of his schoolmates.
Wonderbug,6.5,1976-1978,15,"Action, Adventure, Comedy",,174,The adventures of a living clunker of a dune buggy that is able to become a superhero car.
Gotham Stories,7.3,2016,3,"Animation, Short, Crime",TV-14,242,"Bridging the gap between ""Gotham"" Season 2's first and second half, this web series unveils the latest challenge to Penguin's leadership, Mr. Freeze."
Sheena: Queen of the Jungle,6.9,1955- ,28,Adventure,,113,Add a Plot
Atomic Betty,5.4,2004-2010,30,"Animation, Action, Adventure",TV-Y7,"1,973","A smart, and sugary-sweet Canadian girl leads a double life as a defender of the galaxy."
Journey to the West,8.7,1986-2000,45,"Action, Adventure",,"1,340","An account of the legendary pilgrimage of the Tang dynasty Buddhist monk Tang Shen who traveled to the ""Western Regions"", that is, Central Asia and India, to obtain Buddhist sacred texts (... See full summary »"
SSSS.Dynazenon,6.8,2021,24,"Animation, Action, Adventure",TV-14,198,"After a chance encounter with a self-proclaimed kaiju tamer, a high school student is drawn into a world of fighting mechas and monsters."
Harley Quinn,6.5,2015- ,,Action,,65,"With Batman and The Joker mysteriously missing from Gotham, Harleen Quinzel struggles to keep her alternate personality Harley Quinn suppressed as she is determined to find her ""Mistah J"". ... See full summary »"
The Zeta Project,7.1,2001-2003,30,"Animation, Action, Adventure",TV-Y7,855,"A robot rebels against its creators, refusing to kill, and goes on the run."
Beast Machines: Transformers,6.8,1999-2001,30,"Animation, Action, Adventure",TV-Y7,"2,481",The Maximals awaken on their home planet of Cybertron and are chased by mindless Vehicons created by Megatron. The Maximals must free the planet from Megatron and restore it to its real way of living.
Darkwing Duck,Not-Rated,TBA,,"Animation, Action, Adventure",,,"Which followed the titular duck superhero, who lived an ordinary suburban life under the secret identity of Drake Mallard."
Magical Girl Friendship Squad,2.5,2020- ,12,"Animation, Short, Comedy",TV-MA,"1,253",Two girls are chosen by a red panda to save the universe by using newfound magical powers
Miniforce,4.4,2014-2016,20,"Animation, Action, Adventure",TV-Y7,52,Four animal superheroes called the miniforce transform into robots to protect small and defenceless creatures from the hands of scheming villains.
Mega Man,6.8,1994-1995,22,"Animation, Action, Adventure",TV-Y7,"1,007","Based off of the popular video game, Mega Man. In the year 200X, robot scientists Dr. Thomas Light and Dr. Albert Wily were completing their special project, robot assistants, which will ... See full summary »"
LadyLion,Not-Rated,TBA,,"Animation, Action, Adventure",TV-Y7,,Add a Plot
Silk,Not-Rated,TBA,,"Action, Adventure, Sci-Fi",,,Plot unknown.
Aquaman,6.9,1967-1969,30,"Animation, Action, Adventure",TV-Y7,650,The adventures of the aquatic superhero and his friends.
Stretch Armstrong & the Flex Fighters,6.4,2017-2018,22,"Animation, Short, Action",TV-Y7-FV,305,"An action-comedy series based on Hasbro's stretchy, heroic toy."
Kamen Rider Build,8.5,2017-2018,24,"Action, Adventure, Comedy",TV-PG,487,"10 years ago when the Pandora Box was discovered on Mars and brought to Earth, it's activated and creates a Skywall which divides Japan into Touto, Seito, and Hokuto resulting into untold chaos."
Guyver: The Bioboosted Armor,7.6,1989- ,53,"Animation, Action, Sci-Fi",,877,"Sho and his friend Tetsurou stumble upon an odd alien artifact while walking through the woods. Then, the alien artifact breaks free of its metallic bonds and enters Sho's body, turning him... See full summary »"
Flash Gordon,7,1979-1982,30,"Animation, Action, Adventure",TV-Y7,955,The adventures of the comic strip space hero and his friends as they battle the tyranny of Ming the Merciless on the planet Mongo.
Street Fighter: The Animated Series,5.9,1995-1997,22,"Animation, Action, Adventure",TV-Y7,460,Col. William Guile and his co-horts must fight to thwart Gen. Bison's evil schemes.
Slimer! And the Real Ghostbusters,6.1,1988-1990,,"Animation, Adventure, Comedy",TV-Y7,567,"Episodes feature the Ghostbusters as well as their secretary Janine. But the main star of this show is their pet ghost Slimer, who's joined by some new friends and some new enemies."
Grossology,6.3,2006-2009,30,"Animation, Action, Adventure",TV-Y7-FV,407,Abby & Ty Archer work for the Grossology department of the Government and solve crimes too gross for adults.
Captain America,6.4,1966,,"Animation, Action, Adventure",TV-G,953,The patriotic sole recipient of a revolutionary body enhancement project battles evil as the star spangled defender of America.
Kamen Rider Saber,6.9,2020-2021,24,"Action, Adventure, Comedy",TV-PG,243,"Since ancient times, there have been books responsible for all of Earth's civilisation. These books were written with all sorts of myths, stories, living things, sources of science and ... See full synopsis »"
Lego Spider-Man Series,6.7,2017- ,,"Animation, Action, Adventure",,35,"When Peter Parker's uncle died, he knew that with great power, comes great responsibility. And he made the decision to fight crime as Spider-Man."
Kulipari: An Army of Frogs,7,2016,20,"Animation, Action, Fantasy",TV-Y7,253,Anthropomorphic frogs battle the forces of darkness.
Rescue Heroes,6.8,1999-2013,,"Animation, Action, Family",TV-Y7,319,An elite team of rescue personnel respond to emergencies around the world.
Speed Racer: The Next Generation,4.1,2008-2013,22,"Animation, Action, Adventure",TV-Y7,419,An animated TV series centered on the child of the legendary Speed Racer -- a young talent named after his father who enrolls in an academy for the fastest kids on Earth.
Sidekick,4.3,2010-2019,24,"Animation, Action, Comedy",TV-Y7-FV,"1,102",It's about sidekicks and fun.
The Invisible Man,7.3,1958-1960,30,"Drama, Sci-Fi, Thriller",,388,"British scientist Dr. Peter Brady (Tim Turner), while working on an invisibility formula, suffers a tragic accident which turns him invisible. Unfortunately, there is no antidote, so, while... See full summary »"
SuperTed,6.9,1983-1986,10,"Animation, Action, Adventure",TV-Y7-FV,"1,463","In a toy factory, a newly-made teddy bear is put in a storeroom after being found to be defective. The teddy bear is found by a cosmic being from outer space known as Spotty Man, and Spotty... See full summary »"
Captain Nice,7.1,1967,30,Comedy,,152,"Carter Nash was a chemist in a police department who discovered a liquid which could turn him into Captain Nice, an odd sort of superhero: very shy and dominated by his mother. Captain Nice... See full summary »"
He & She,8,1967-1968,30,"Comedy, Romance",,269,"Dick and Paula Hollister are a witty, sophisticated couple living in New York City. Dick is a comic-book artist who has become well-known for creating a superhero called Jetman, which has ... See full summary »"
Masked Rider,6.5,1995-1996,30,"Action, Adventure, Comedy",TV-Y7,436,Masked Rider is a 1995 live action television series which serves as a spin-off of Power Rangers.
Kamen Rider Black Sun,,2022- ,,"Action, Adventure, Drama",,,A Reboot TV Series of Kamen Rider Black (1987).
Bridal Mask,8.4,2012,60,"Action, History, Romance",,641,"In 1930s Korea, during the Japanese colonial era, a man who is a Korean police officer assigned to aid the Japanese in the annihilation of the local rebellion, secretly dons the 'Bridal Mask' and fights the unjust regime."
Kaizoku Sentai Gokaiger,8.5,2011-2012,25,"Action, Adventure, Comedy",TV-PG,403,The five space Pirates come to earth looking for the greater powers of the 34 super Squadron.
Avengers: United They Stand,5.5,1999-2000,30,"Animation, Action, Adventure",TV-Y7,932,The adventures of the Marvel Comics Universe's greatest general membership superhero team.
Mashin Sentai Kiramager,8,2020-2021,25,"Action, Adventure, Comedy",TV-PG,82,"A princess from the Land of Jewels comes to Earth with the Kirama Stones to find individuals with strong ""shining spirits"" known as Kiramental to become the Kiramagers and fight the threat of the Yodon, an imperial army of darkness."
