show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
Bad and Crazy,8.3,2021- ,70,"Action, Comedy, Crime",,"1,197",A heroic drama that follows capable but bad cop Ryoo Soo-yeol regaining his humanity after meeting the righteous but crazy 'K'.
Samurai Jack,8.5,2001-2017,25,"Animation, Action, Adventure",TV-14,"50,853","A samurai, sent through time, fights to return home and save the world."
Star Wars: Clone Wars,7.8,2003-2005,133,"Animation, Action, Adventure",TV-Y7,"25,315",The events and battles of the Galactic Republic's last major war are recounted.
The Saint,7.5,1962-1969,50,"Action, Crime, Drama",TV-PG,"5,255","Simon ""The Saint"" Templar, a wealthy adventurer and 20th Century Robin Hood, travels the world in his white Volvo P1800S to solve the unsolvable and right wrongs."
Teen Titans,7.9,2003-2006,23,"Animation, Action, Adventure",TV-Y7-FV,"30,155",A team of five teenaged superheroes save the world from many villains around their city while experiencing things normal teens face today.
The Protector,6.6,2018-2020,40,"Action, Fantasy, Sci-Fi",TV-MA,"34,103","Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy."
She-Ra and the Princesses of Power,7.8,2018-2020,30,"Animation, Action, Adventure",TV-Y7-FV,"14,464","She-Ra, Princess of Power, leads a rebellion to free her land of Etheria from the monstrous invaders the Horde."
The Tick,7.4,2016-2019,29,"Action, Adventure, Comedy",TV-MA,"17,625","In a world where superheroes have been real for decades, an accountant with no superpowers comes to realize his city is owned by a super villain. As he struggles to uncover this conspiracy, he falls in league with a strange blue superhero."
Teen Titans Go!,5.3,2013- ,10,"Animation, Short, Action",TV-PG,"20,156","Superhero roommates Robin, Cyborg, Starfire, Raven and Beast Boy love saving the day, but what happens when they're done fighting crime?"
Power Rangers Dino Fury,6.8,2021-2022,21,"Action, Adventure, Comedy",TV-Y7,416,"When an army of powerful alien beings is unleashed on Earth threatening life as we know it, a brand-new team of Power Rangers, fueled by the prehistoric power of the dinosaurs, are recruited to deal with the threat."
The Six Million Dollar Man,7.1,1974-1978,60,"Action, Crime, Drama",TV-PG,"10,836","After a severely injured test pilot is rebuilt with nuclear-powered bionic limbs and implants, he serves as an intelligence agent."
The Equalizer,7.8,1985-1989,48,"Action, Crime, Drama",TV-PG,"5,103",A retired Intelligence Agent turned private detective helps various threatened clients to equalize the odds.
Teenage Mutant Ninja Turtles,7.8,2012-2017,24,"Animation, Action, Adventure",TV-Y7-FV,"10,072","Four ninja turtles, mutated by a mysterious alien substance, must rise up out of the sewers and defend their city against evil forces from both the past and present."
Justice League,8.5,2001-2004,22,"Animation, Action, Adventure",TV-PG,"44,875",Seven of the most formidable heroes form arguably the most powerful team ever.
Get Smart,8.2,1965-1970,25,"Action, Adventure, Comedy",TV-G,"12,162","Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, battles the evil forces of rival spy agency KAOS with the help of his competent partner Agent 99."
The Greatest American Hero,7.3,1981-1983,60,"Adventure, Comedy, Sci-Fi",TV-14,"5,523",A teacher is asked to be a superhero using a special alien suit with powers he can barely understand or control.
LazyTown,6,2002-2014,30,"Adventure, Comedy, Family",TV-Y,"6,990","In this Nick Jr. television show, a pink-haired girl named Stephanie moves to LazyTown with her uncle (the mayor of LazyTown), where she tries to teach its extremely lazy residents that physical activity is beneficial."
Avengers Assemble,7,2012-2019,23,"Animation, Action, Adventure",TV-Y7,"7,395",The further adventures of the Marvel Universe's mightiest general membership superhero team.
Fairly OddParents,7.2,2001-2017,30,"Animation, Adventure, Comedy",TV-Y7,"38,109","After being tortured and humiliated by his babysitter, a ten year old boy is put under the care of two fairy godparents, who can grant him almost any wish, which leads to dire consequences."
Q-Force,6.4,2021- ,30,"Animation, Action, Adventure",TV-MA,"4,717",A handsome secret agent and his team of LGBTQ superspies embark on extraordinary adventures.
Fullmetal Alchemist,8.5,2003-2004,24,"Animation, Action, Adventure",TV-PG,"68,093","When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's stone."
The Flash,7.1,1990-1991,48,"Action, Crime, Fantasy",TV-PG,"7,144","A police forensic scientist, Barry Allen, battles crimes as the super-fast superhero ""The Flash""."
Teenage Mutant Ninja Turtles,7.9,1987-1996,23,"Animation, Action, Adventure",TV-Y7,"33,133",The adventures of a quartet of humanoid warrior turtles and their friends.
Batman Beyond,8.1,1999-2001,23,"Animation, Action, Adventure",TV-Y7,"26,756","Fuelled by remorse and vengeance, a high schooler named Terry McGinnis revives the role of Batman. Under supervision of an elderly Bruce Wayne, he fights crime in a harsh, futuristic Gotham."
Justice League Unlimited,8.7,2004-2006,23,"Animation, Action, Adventure",TV-Y7-FV,"14,495",A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
Constantine,7.5,2014-2015,43,"Crime, Drama, Fantasy",TV-14,"52,045",A man struggling with his faith who is haunted by the sins of his past is suddenly thrust into the role of defending humanity from the gathering forces of darkness.
Highway to Heaven,6.8,1984-1989,60,"Drama, Fantasy",TV-PG,"5,230","A probationary angel, sent back to Earth, teams with an ex-cop to help people."
