,show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
29,Wu Assassins,6.4,2019-,44,"Action, Crime, Drama",TV-MA,"12,334",A warrior chosen as the latest and last Wu Assassin must search for the powers of an ancient triad and restore balance in San Francisco's Chinatown.
30,Naruto: Shippûden,8.6,2007-2017,24,"Animation, Action, Adventure",TV-PG,"1,11,479","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
31,Luke Cage,7.3,2016-2018,55,"Action, Crime, Drama",TV-MA,"1,26,028","When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must soon confront his past and fight a battle for the heart of his city."
32,Iron Fist,6.4,2017-2018,55,"Action, Adventure, Crime",TV-MA,"1,25,530",A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.
33,JoJo's Bizarre Adventure,8.5,2012- ,30,"Animation, Action, Adventure",TV-14,"19,040","The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives."
34,Naruto,8.3,2002-2007,24,"Animation, Action, Adventure",TV-PG,"91,043","Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja."
35,Fullmetal Alchemist: Brotherhood,9.1,2009-2012,24,"Animation, Action, Adventure",TV-14,"1,52,192",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
37,Heroes,7.5,2006-2010,45,"Drama, Fantasy, Sci-Fi",TV-14,"2,37,096",Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.
38,Stargirl,7.2,2020- ,566,"Action, Adventure, Crime",TV-PG,"16,206",Teenager Courtney Whitmore joins the Justice Society of America. Based on the character from DC Comics.
39,One Punch Man,8.7,2015-2019,24,"Animation, Action, Comedy",TV-PG,"1,44,242","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
40,Legion,8.2,2017-2019,60,"Action, Drama, Sci-Fi",TV-MA,"88,131","David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter, he discovers special powers that will change his life forever."
41,Bleach,8.2,2004-2012,24,"Animation, Action, Adventure",TV-14,"50,597","High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows""."
42,Young Justice,8.7,2010- ,23,"Animation, Action, Adventure",TV-PG,"38,249",Teenage superheroes strive to prove themselves as members of the Justice League.
43,Harley Quinn,8.5,2019- ,23,"Animation, Action, Adventure",TV-MA,"22,036","The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City."
